startTime,endTime,latitude,longitude
2023-12-10 18:29:15,2023-12-10 18:29:25,50.0621104030928,19.9124997876731
2023-12-10 18:31:35,2023-12-10 18:31:55,50.0621104030928,19.9124997876731
2023-12-10 18:25:42,2023-12-10 18:26:02,50.0619394485041,19.9124294865801
2023-12-10 18:29:35,2023-12-10 18:29:45,50.0619394485041,19.9124294865801
2023-12-10 18:31:45,2023-12-10 18:32:15,50.0619394485041,19.9124294865801
2023-12-10 18:26:12,2023-12-10 18:26:22,50.0617672562878,19.9123614487214
2023-12-10 18:26:42,2023-12-10 18:26:52,50.0617672562878,19.9123614487214
2023-12-10 18:29:55,2023-12-10 18:30:05,50.0617672562878,19.9123614487214
2023-12-10 18:32:05,2023-12-10 18:32:55,50.0617672562878,19.9123614487214
2023-12-10 18:26:12,2023-12-10 18:27:12,50.061546850505,19.912416016088
2023-12-10 18:30:05,2023-12-10 18:30:55,50.061546850505,19.912416016088
2023-12-10 18:27:02,2023-12-10 18:27:42,50.0613318834904,19.9123313474823
2023-12-10 18:30:45,2023-12-10 18:31:15,50.0613318834904,19.9123313474823
2023-12-10 18:27:12,2023-12-10 18:27:42,50.061235498868,19.9123412088926
2023-12-10 18:30:55,2023-12-10 18:31:15,50.061235498868,19.9123412088926
2023-12-10 18:01:43,2023-12-10 18:01:53,50.0694784927397,19.9089032341539
2023-12-10 18:10:05,2023-12-10 18:10:25,50.0714049554981,19.9192231949781
2023-12-10 18:08:55,2023-12-10 18:09:35,50.0717168982477,19.9198160605515
2023-12-10 18:08:55,2023-12-10 18:09:35,50.0717608030392,19.9197610097682
2023-12-10 18:08:15,2023-12-10 18:08:55,50.0716374449129,19.9201961559342
2023-12-10 18:07:55,2023-12-10 18:08:35,50.0715290540122,19.920316916623
2023-12-10 18:08:25,2023-12-10 18:09:05,50.0716219889806,19.9200618312677
2023-12-10 18:04:56,2023-12-10 18:05:16,50.0682489658884,19.9131623805685
2023-12-10 18:08:53,2023-12-10 18:09:33,50.0682489658884,19.9131623805685
2023-12-10 18:05:36,2023-12-10 18:06:36,50.0680988181819,19.9135281320277
2023-12-10 18:09:33,2023-12-10 18:10:13,50.0680988181819,19.9135281320277
2023-12-10 18:05:56,2023-12-10 18:06:26,50.0682039957632,19.9136507792722
2023-12-10 18:09:43,2023-12-10 18:10:13,50.0682039957632,19.9136507792722
2023-12-10 18:06:16,2023-12-10 18:06:56,50.0680740817615,19.9139209425158
2023-12-10 18:10:13,2023-12-10 18:10:43,50.0680740817615,19.9139209425158
2023-12-10 18:06:16,2023-12-10 18:07:06,50.0679678882883,19.9138434379655
2023-12-10 18:10:03,2023-12-10 18:10:43,50.0679678882883,19.9138434379655
2023-12-10 18:06:56,2023-12-10 18:07:46,50.0678218641401,19.9141984755856
2023-12-10 18:10:43,2023-12-10 18:11:23,50.0678218641401,19.9141984755856
2023-12-10 18:05:36,2023-12-10 18:06:36,50.0679214195476,19.9135473662632
2023-12-10 18:09:53,2023-12-10 18:10:13,50.0679214195476,19.9135473662632
2023-12-10 18:05:06,2023-12-10 18:06:06,50.0680463897946,19.9132390393467
2023-12-10 18:09:23,2023-12-10 18:09:43,50.0680463897946,19.9132390393467
2023-12-10 18:04:46,2023-12-10 18:05:16,50.0681903721824,19.9128871164861
2023-12-10 18:08:43,2023-12-10 18:09:03,50.0681903721824,19.9128871164861
2023-12-10 18:15:15,2023-12-10 18:16:15,50.067553510486,19.9133377630346
2023-12-10 18:36:29,2023-12-10 18:37:19,50.067553510486,19.9133377630346
