X,Y
19.899135469459,50.0740434394016
19.8913930635899,50.0750528346396
19.8982101073489,50.0730553261042
19.8887177696452,50.0735201206096
19.8916773777455,50.0732797621616
19.8920421581715,50.0732040177995
19.8924391251057,50.0731248303838
19.8955612163991,50.0726015015665
19.893560288474,50.0729492404305
19.8927556257695,50.0730835151585
19.8971168976277,50.0724293526809
19.8975460510701,50.0724293526809
19.8980288486928,50.0724534535621
19.8985491972417,50.0724465675973
19.9020199757069,50.0731420450505
19.9041496496648,50.0731454879831
19.9044285994023,50.0731661455735
19.9042906751856,50.0727884975933
19.8992519360036,50.0758790984469
19.8962086136453,50.0783301563848
19.8965536337346,50.0780720712546
19.8970310669392,50.0776692878504
19.8986618500203,50.0781615782183
19.898602841422,50.0778620734917
19.8985384684056,50.0775453538145
19.8984740953892,50.0772251894055
19.8967360239476,50.0753730135546
19.8966931086034,50.0750907053754
19.8966072779149,50.0747395392231
19.8965160828084,50.0743263992806
19.8963873367757,50.0739580131632
19.8961727600545,50.0736997969077
19.9000190477818,50.0776451895907
19.9001692514867,50.0778620734917
19.8999723186716,50.0796257248971
19.8997937422246,50.0786573060682
19.9019705643877,50.0785671545532
19.9057599599473,50.0822286973016
19.9006509175524,50.0797117864994
19.8999240389094,50.0794415525494
19.901134846732,50.0783474767627
19.9073027959093,50.0782160138621
19.9063705187291,50.0763163239508
19.8983797989786,50.0809684834461
19.8983346205205,50.0807950737054
19.8982917051762,50.0805575486754
19.8982326965779,50.0801788831505
19.8975556483492,50.0793072956257
19.8976066103205,50.0795293357193
19.8977729072794,50.0803297042663
19.8978131404146,50.0805345276181
19.897874831222,50.0807961494502
19.8960402002558,50.0816980453473
19.8905684938654,50.0813228311765
19.8905068030581,50.0811713677433
19.8904370656237,50.0813589757886
19.8903565993532,50.0812006277621
19.8908259859309,50.0828408814237
19.890842079185,50.083102490669
19.890313684009,50.0813865145225
19.8850672831759,50.082066371998
19.8885622015223,50.081451918952
19.8882725229487,50.0815156021265
19.9227034742944,50.0596153296259
19.9230467970483,50.0595593661561
19.9234263296239,50.0594990977308
19.9120621662587,50.0692100546866
19.8981361370534,50.0601191055382
19.9309196462855,50.0724424790552
19.9312334647402,50.0725870841211
19.9327328195795,50.0712184829959
19.9329661717638,50.0709671381667
19.9331378331408,50.070782932558
19.9333953252062,50.070533307006
19.93371182587,50.0674533372472
19.9321749201044,50.067241571299
19.9310671677813,50.067102115164
19.9307667603716,50.0670556296956
19.9304368486628,50.067012587555
19.9297662964091,50.0669213380893
19.93011766579,50.0669712670637
19.9325692048296,50.0673052733492
19.9329473963007,50.0673483152272
19.9333121767268,50.0673999654297
19.9293612828478,50.0668714090628
19.9288206081837,50.0693133510261
19.9286543112248,50.0694717383147
19.9284343700856,50.0696507841849
19.9282144289464,50.0698401588971
19.9279998522252,50.0700329760177
19.9277745466679,50.0701982472183
19.9291654815897,50.0634382334199
19.9298709025606,50.0732756736906
19.9244884843938,50.0738830230022
19.9244260182604,50.073656115187
19.9243750562891,50.0734701984527
19.9242999544367,50.0732378015212
19.9242463102564,50.0730398328764
19.9241926660761,50.0728590781825
19.9255590420216,50.0737893120337
19.9268679600209,50.070532231031
19.926519272849,50.070711272942
